"","factor","groups"
"PJ-1",727.388917142857,"a"
"SY",440.55595,"b"
"PJ-2",425.562,"b"
"GG",392.4984375,"b"
"WC",320.326,"c"
"JS",301.998225,"c"
"7",NA,NA
"SY1",19997.715125,"a"
"PJ-11",14251.6702742857,"b"
"PJ-21",6000.897225,"c"
"WC1",5303.060675,"cd"
"GG1",2082.9615625,"de"
"JS1",1181.0923,"e"
"14",NA,NA
"GG2",257011.1568125,"a"
"JS2",254936.3323,"a"
"PJ-22",187413.56975,"b"
"PJ-12",187287.361334286,"b"
"SY2",185464.3165,"b"
"WC2",183243.932425,"b"
"21",NA,NA
"PJ-13",2361.21026714286,"a"
"JS3",1483.52305,"b"
"WC3",526.276525,"c"
"GG3",403.07478125,"c"
"SY3",402.22725,"c"
"PJ-23",326.9123,"c"
"28",NA,NA
"SY4",1053238.011175,"a"
"GG4",961454.02403125,"b"
"WC4",842618.0423,"c"
"JS4",770481.10505,"d"
"PJ-14",723975.142397143,"de"
"PJ-24",702172.93685,"e"
"35",NA,NA
"PJ-15",63564.3179685714,"a"
"GG5",63136.3759375,"a"
"WC5",56814.836075,"b"
"PJ-25",55929.800325,"b"
"SY5",46444.683175,"c"
"JS5",43809.4727,"c"
"42",NA,NA
"PJ-16",0.228982857142857,"a"
"JS6",0.101975,"b"
"WC6",0.074075,"bc"
"GG6",0.06771875,"bc"
"SY6",0.016,"bc"
"PJ-26",0.007875,"c"
"49",NA,NA
"PJ-17",89.0101642857143,"a"
"JS7",48.22065,"b"
"GG7",38.74340625,"bc"
"WC7",31.0687,"cd"
"SY7",23.67655,"cd"
"PJ-27",19.668475,"d"
"56",NA,NA
"PJ-18",3.70512285714286,"a"
"JS8",2.5773,"b"
"WC8",1.187075,"c"
"GG8",1.014375,"cd"
"SY8",0.711125,"de"
"PJ-28",0.537025,"e"
"63",NA,NA
"JS9",33.49065,"a"
"SY9",16.754625,"b"
"GG9",15.9734375,"b"
"PJ-19",15.7316085714286,"b"
"PJ-29",11.4768,"b"
"WC9",10.89185,"b"
"70",NA,NA
"WC10",13532.542925,"a"
"GG10",9909.758875,"b"
"PJ-210",8705.71435,"c"
"SY10",7451.3379,"d"
"PJ-110",7032.57518,"d"
"JS10",5149.60775,"e"
"77",NA,NA
"PJ-111",4058.10064,"a"
"GG11",2656.18703125,"b"
"JS11",2618.12385,"b"
"SY11",2045.4802,"c"
"PJ-211",1531.624075,"d"
"WC11",1528.2709,"d"
"84",NA,NA
"GG12",8.08896875,"a"
"JS12",5.24,"b"
"PJ-112",3.26050428571429,"c"
"WC12",2.813725,"cd"
"SY12",2.532325,"de"
"PJ-212",2.007225,"e"
"91",NA,NA
"GG13",243.9900625,"a"
"JS13",190.929975,"b"
"SY13",148.014375,"c"
"WC13",130.226225,"c"
"PJ-113",101.992735714286,"d"
"PJ-213",83.601125,"d"
"98",NA,NA
"SY14",2567.791125,"a"
"GG14",2420.25140625,"a"
"PJ-114",2127.43396,"b"
"JS14",1833.5973,"c"
"PJ-214",1743.195825,"c"
"WC14",1708.340275,"c"
"105",NA,NA
"GG15",14655.641125,"a"
"PJ-215",11570.211775,"b"
"SY15",11491.686325,"b"
"WC15",11232.322425,"bc"
"JS15",11122.070975,"bc"
"PJ-115",10579.9238714286,"c"
"112",NA,NA
"PJ-116",1.19591857142857,"a"
"JS16",0.5619,"b"
"WC16",0.3076,"bc"
"GG16",0.21884375,"c"
"SY16",0.109175,"c"
"PJ-216",0.097,"c"
"119",NA,NA
"PJ-217",2.142925,"a"
"PJ-117",2.10560142857143,"a"
"JS17",1.674,"b"
"GG17",1.59171875,"b"
"WC17",1.5619,"b"
"SY17",1.14955,"c"
"126",NA,NA
"PJ-218",125.55835,"a"
"WC18",114.63185,"ab"
"JS18",110.51855,"b"
"GG18",103.778125,"b"
"PJ-118",90.7794485714286,"c"
"SY18",88.449675,"c"
"133",NA,NA
"JS19",53.514775,"a"
"GG19",48.6044375,"a"
"PJ-219",34.2018,"b"
"PJ-119",32.0100785714286,"b"
"WC19",28.088325,"bc"
"SY19",20.3194,"c"
"140",NA,NA
"GG20",2219.95375,"a"
"WC20",2143.9284,"a"
"JS20",1424.8106,"b"
"SY20",1210.339925,"bc"
"PJ-220",1022.204875,"c"
"PJ-120",533.781878571429,"d"
"147",NA,NA
"PJ-121",145.151058571429,"a"
"PJ-221",97.89765,"b"
"WC21",75.868,"c"
"GG21",67.65584375,"cd"
"JS21",57.777725,"d"
"SY21",56.63735,"d"
"154",NA,NA
"PJ-122",0.235228571428571,"a"
"JS22",0.1271,"b"
"GG22",0.07765625,"c"
"WC22",0.058825,"c"
"SY22",0.0396,"c"
"PJ-222",0.034775,"c"
"161",NA,NA
"GG23",445.7793125,"a"
"SY23",427.952575,"a"
"WC23",412.870125,"ab"
"PJ-123",378.98913,"bc"
"PJ-223",344.260125,"cd"
"JS23",318.8798,"d"
"168",NA,NA
"GG24",2.235625,"a"
"PJ-124",1.90755857142857,"b"
"SY24",1.776125,"b"
"WC24",1.38665,"c"
"PJ-224",1.291925,"c"
"JS24",0.480225,"d"
"175",NA,NA
"GG25",228.35675,"a"
"JS25",43.62725,"b"
"SY25",18.680775,"c"
"WC25",16.6991,"c"
"PJ-225",10.526925,"c"
"PJ-125",9.03236,"c"
"182",NA,NA
"GG26",18.75878125,"a"
"WC26",2.046475,"b"
"JS26",1.676125,"b"
"SY26",1.06995,"b"
"PJ-226",1.056775,"b"
"PJ-126",0.827654285714286,"b"
"189",NA,NA
"GG27",181.9136875,"a"
"JS27",158.69575,"b"
"PJ-127",74.3102214285714,"c"
"PJ-227",73.28755,"cd"
"WC27",54.72815,"d"
"SY27",25.100925,"e"
"196",NA,NA
"GG28",3.2395625,"a"
"WC28",2.2313,"b"
"SY28",1.63555,"c"
"PJ-128",1.6354,"c"
"PJ-228",1.4757,"c"
"JS28",1.3179,"c"
"203",NA,NA
"PJ-129",15.8256585714286,"a"
"GG29",15.0214375,"a"
"SY29",11.517675,"a"
"PJ-229",10.9302,"a"
"JS29",10.611,"a"
"WC29",8.2274,"a"
"210",NA,NA
