,0,1,2,3,4,5
0,0.01,0.025,0.015,0.065,0.8,0.085
1,0.0,0.0,1.0,0.0,0.0,0.0
2,0.985,0.0,0.0,0.0,0.005,0.01
3,0.035,0.955,0.0,0.01,0.0,0.0
4,0.29,0.0,0.0,0.085,0.015,0.61
5,0.0,0.0,1.0,0.0,0.0,0.0
6,0.0,0.005,0.97,0.025,0.0,0.0
7,0.0,0.0,0.0,0.99,0.01,0.0
8,1.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,1.0
10,0.275,0.0,0.0,0.13,0.015,0.58
11,0.0,0.0,1.0,0.0,0.0,0.0
12,0.0,0.0,1.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.945,0.045,0.01
14,0.195,0.005,0.0,0.46,0.1,0.24
15,0.0,0.0,0.0,0.0,0.0,1.0
16,0.0,0.0,1.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.115,0.885,0.0
18,0.85,0.0,0.0,0.01,0.005,0.135
19,0.0,0.005,0.95,0.0,0.045,0.0
20,0.0,0.0,0.99,0.01,0.0,0.0
21,0.175,0.005,0.04,0.425,0.155,0.2
22,0.285,0.0,0.0,0.08,0.01,0.625
23,0.99,0.0,0.0,0.0,0.005,0.005
24,0.0,0.995,0.005,0.0,0.0,0.0
25,0.0,0.0,0.12,0.1,0.78,0.0
26,0.0,0.0,0.995,0.0,0.005,0.0
